titles,author_journal,abstracts,n_citations,author,journal,page,year
Theories of persistent inequality and intergenerational mobility,"T Piketty - Handbook of income distribution, 2000 - Elsevier","… concentrate upon the intergenerational mobility dimension of … empirical work about
intergenerational mobility and persistent … The question of intergenerational mobility has always …",455,T Piketty,Handbook of income distribution,Elsevier,2000
Intergenerational mobility,"L Fox, F Torche, J Waldfogel - 2016 - academic.oup.com","Intergenerational Mobility | The Oxford Handbook of the Social Science of Poverty | Oxford
Academic … Social Stratification, Inequality, and Mobility …",43,"L Fox, F Torche, J Waldfogel",,academic.oup.com,2016
Three meanings of intergenerational mobility,"D Van de Gaer, E Schokkaert, M Martinez - Economica, 2001 - Wiley Online Library","… motivations for being concerned about intergenerational mobility: mobility as a description of
… We propose two new measures of intergenerational mobility which more adequately reflect …",167,"D Van de Gaer, E Schokkaert, M Martinez",Economica,Wiley Online Library,2001
The intergenerational mobility of immigrants,"GJ Borjas - Journal of labor economics, 1993 - journals.uchicago.edu","… This article analyzes the intergenerational mobility experienced by immigrants in the
context of an economic model of immigration. As long as skills are partly transferable across …",394,GJ Borjas,Journal of labor economics,journals.uchicago.edu,1993
An equilibrium theory of the distribution of income and intergenerational mobility,"GS Becker, N Tomes - Journal of political Economy, 1979 - journals.uchicago.edu","… The theory of inequality and intergenerational mobility presented in this essay assumes that
each family maximizes a utility function spanning several generations. Utility depends on the …",2931,"GS Becker, N Tomes",Journal of political Economy,journals.uchicago.edu,1979
Intergenerational mobility in Latin America [with comments],"JR Behrman, A Gaviria, M Székely, N Birdsall… - Economia, 2001 - JSTOR","… study intergenerational mobility in … intergenerational mobility is much higher in the United
States than in these Latin American countries and that there are sizable differ ences in mobility …",484,"JR Behrman, A Gaviria, M Székely, N Birdsall…",Economia,JSTOR,2001
Intergenerational mobility in Australia,"A Leigh - The BE Journal of Economic Analysis & Policy, 2007 - degruyter.com","… , I also estimate intergenerational mobility measures for the … I find no evidence that
intergenerational mobility has changed over time … society exhibits more intergenerational mobility …",151,A Leigh,The BE Journal of Economic Analysis & Policy,degruyter.com,2007
Intergenerational mobility in Africa,"A Alesina, S Hohmann, S Michalopoulos… - …, 2021 - Wiley Online Library","… We examine intergenerational mobility (IM) in educational … Third, we ask whether the
regional differences in mobility … An extra year spent in a high-mobility region before the age of …",126,"A Alesina, S Hohmann, S Michalopoulos…",…,Wiley Online Library,2021
Mobility report cards: The role of colleges in intergenerational mobility,"R Chetty, JN Friedman, E Saez, N Turner, D Yagan - 2017 - nber.org","… to construct publicly available mobility report cards – … mobility report cards, we document
four sets of descriptive results that shed light on how colleges mediate intergenerational mobility …",748,"R Chetty, JN Friedman, E Saez, N Turner, D Yagan",,nber.org,2017
Intergenerational mobility of socio-economic status in comparative perspective,"A Björklund, M Jäntti - 1999 - researchgate.net","… literature on intergenera- tional mobility of earnings and income that adds new insights to
the existing sociological research on intergenerational mobility of social class and of social …",240,"A Björklund, M Jäntti",,researchgate.net,1999
Ethnic capital and intergenerational mobility,"GJ Borjas - The Quarterly journal of economics, 1992 - academic.oup.com","… into an economic model of intergenerational mobility has one … a crucial role in intergenerational
mobility, and slows down … ethnic capital in intergenerational mobility partly explains the …",1498,GJ Borjas,The Quarterly journal of economics,academic.oup.com,1992
"In the name of the son (and the daughter): Intergenerational mobility in the United States, 1850-1940","C Olivetti, MD Paserman - American Economic Review, 2015 - aeaweb.org","… Recent research reveals that today intergenerational mobility … on the evolution of
intergenerational mobility in the United … by looking at the intergenerational elasticity in economic …",217,"C Olivetti, MD Paserman",American Economic Review,aeaweb.org,2015
Intergenerational mobility of wages in Brazil,"SG Ferreira, FA Veloso - Brazilian Review of Econometrics, 2006 - bibliotecadigital.fgv.br","… The measure 1 − β is a measure of the degree of intergenerational mobility. In order to capture
nonlinear patterns of intergenerational mobility, we will also use transition matrices, which …",235,"SG Ferreira, FA Veloso",Brazilian Review of Econometrics,bibliotecadigital.fgv.br,2006
Government spending and intergenerational mobility,"SE Mayer, LM Lopoo - Journal of Public Economics, 2008 - Elsevier","… We find greater intergenerational mobility in high-spending states compared to low-… spending
increases intergenerational mobility. First, the difference in mobility between advantaged …",184,"SE Mayer, LM Lopoo",Journal of Public Economics,Elsevier,2008
Intergenerational mobility and preferences for redistribution,"A Alesina, S Stantcheva, E Teso - American Economic Review, 2018 - aeaweb.org","… of mobility to recent data on actual intergenerational mobility in the five … intergenerational
mobility and redistributive policies. To get at the causal link between perceptions of mobility and …",637,"A Alesina, S Stantcheva, E Teso",American Economic Review,aeaweb.org,2018
Equal opportunity and intergenerational mobility: going beyond intergenerational income transition matrices,"JE Roemer - Generational income mobility in North America and …, 2004 - researchgate.net","… the degree of intergenerational income mobility is viewed as … As such the degree of
intergenerational mobility is perceived … of opportunity and intergenerational income mobility. Many …",207,JE Roemer,Generational income mobility in North America and …,researchgate.net,2004
How much can we learn from international comparisons of intergenerational mobility?,J Blanden - 2009 - eprints.lse.ac.uk,"… of the study of intergenerational mobility are unclear. If intergenerational income inequality
is … comparisons of the levels of intergenerational mobility across countries. With comparisons …",133,J Blanden,,eprints.lse.ac.uk,2009
The impact of inequality on intergenerational mobility,"TA DiPrete - Annual Review of Sociology, 2020 - annualreviews.org","… of intergenerational earnings or income mobility as well. The more recent focus on earnings
or income mobility … earnings mobility. Evidence about the impact of inequality on relative …",24,TA DiPrete,Annual Review of Sociology,annualreviews.org,2020
Patterns of intergenerational mobility in income and earnings,"HE Peters - The review of Economics and Statistics, 1992 - JSTOR","… This argument provides some motivation for why the degree of intergenerational mobility …
intergenerational mobility as the correlation between parents' and children's income, p, mobility …",233,HE Peters,The review of Economics and Statistics,JSTOR,1992
The impacts of neighborhoods on intergenerational mobility II: County-level estimates,"R Chetty, N Hendren - The Quarterly Journal of Economics, 2018 - academic.oup.com","We estimate the causal effect of each county in the United States on children’s incomes in
adulthood. We first estimate a fixed effects model that is identified by analyzing families who …",659,"R Chetty, N Hendren",The Quarterly Journal of Economics,academic.oup.com,2018
A New Look at Intergenerational Mobility in G ermany Compared to the U. S,"DD Schnitzlein - Review of Income and Wealth, 2016 - Wiley Online Library","… on intergenerational mobility in Germany, I present a cross-country comparison of Germany
and the US, reassessing the question of whether intergenerational mobility … intergenerational …",59,DD Schnitzlein,Review of Income and Wealth,Wiley Online Library,2016
Intergenerational mobility and marital sorting,"J Ermisch, M Francesconi, T Siedler - The Economic Journal, 2006 - academic.oup.com","… This article makes two contributions to the intergenerational mobility literature. The first is
to estimate economic mobility for sons and daughters in a framework that highlights the role …",249,"J Ermisch, M Francesconi, T Siedler",The Economic Journal,academic.oup.com,2006
The impacts of neighborhoods on intergenerational mobility I: Childhood exposure effects,"R Chetty, N Hendren - The Quarterly Journal of Economics, 2018 - academic.oup.com","… of neighborhoods on intergenerational mobility that reconcile … the differences in
intergenerational mobility across areas in … This geographic variation in intergenerational mobility …",999,"R Chetty, N Hendren",The Quarterly Journal of Economics,academic.oup.com,2018
Recent changes in intergenerational mobility in Britain,"J Blanden, S Machin - 2007 - suttontrust.com","… This report investigates recent changes in social mobility … mobility that occurred for birth
cohorts from 1958 and 1970. Our findings suggest that the decline in intergenerational mobility …",164,"J Blanden, S Machin",,suttontrust.com,2007
The decline in intergenerational mobility after 1980,"J Davis, B Mazumder - 2022 - papers.ssrn.com","… NLS) to directly measure changes in intergenerational mobility for large samples of relevant
cohorts.We document that intergenerational mobility was substantially lower for cohorts born …",75,"J Davis, B Mazumder",,papers.ssrn.com,2022
Cross‐country rankings in intergenerational mobility: a comparison of approaches from economics and sociology,"J Blanden - Journal of Economic Surveys, 2013 - Wiley Online Library","… of the study of intergenerational mobility are unclear. If intergenerational income inequality
is … making comparisons of the levels of intergenerational mobility across countries. With such …",484,J Blanden,Journal of Economic Surveys,Wiley Online Library,2013
"Intergenerational mobility in Norway, 1865–2011","J Modalsli - The Scandinavian Journal of Economics, 2017 - Wiley Online Library","… , the difference in intergenerational mobility between regions is found to be only moderate,
though one can observe a correlation between economic and occupational mobility.8 8 A …",63,J Modalsli,The Scandinavian Journal of Economics,Wiley Online Library,2017
How do we characteristically measure and analyze intergenerational mobility,"F Torche - New York: Stanford Center on Poverty and …, 2013 - inequality.stanford.edu","… and economic literature on intergenerational mobility. The author reviews mobility analysis in
… strategies to analyze these different types of mobility are examined, and factors accounting …",48,F Torche,New York: Stanford Center on Poverty and …,inequality.stanford.edu,2013
How inequality may affect intergenerational mobility,"M Hout - Social inequality, 2004 - nyuscholars.nyu.edu","… mobility. What, then, are we to make of the intuitive connection between inequality and mobility?
… it is with the connection between inequality and mobility. The literature may be thin, and …",80,M Hout,Social inequality,nyuscholars.nyu.edu,2004
Intergenerational mobility during the great depression,JJ Feigenbaum - 2015 - scholar.harvard.edu,"… in mobility that happen to correlate with Depression severity—I perform a parallel analysis
on intergenerational mobility … 3I focus on relative intergenerational mobility, estimated via the …",75,JJ Feigenbaum,,scholar.harvard.edu,2015
Education and intergenerational mobility in Singapore,"IYH Ng - Educational Review, 2014 - Taylor & Francis","… This article reviews the evidence from intergenerational mobility research and compares
their … The next section explains intergenerational mobility and compares mobility levels of …",51,IYH Ng,Educational Review,Taylor & Francis,2014
Intergenerational mobility in india: Estimates from new methods and administrative data,"S Asher, P Novosad, C Rafkin - World Bank Working …, 2018 - barrett.dyson.cornell.edu","… the correlates of intergenerational mobility at a fine geographic level: rural subdistricts (n=5600)
and cities and towns (n=2000). Urban mobility is consistently higher than rural mobility: …",77,"S Asher, P Novosad, C Rafkin",World Bank Working …,barrett.dyson.cornell.edu,2018
The Scandinavian fantasy: The sources of intergenerational mobility in Denmark and the US,"R Landersø, JJ Heckman - The Scandinavian journal of …, 2017 - Wiley Online Library","… Measured by income potential (columns 1 and 2), we find that intergenerational mobility
in Denmark is not significantly different from intergenerational mobility in the US. When we …",201,"R Landersø, JJ Heckman",The Scandinavian journal of …,Wiley Online Library,2017
Intergenerational mobility in Sweden: a regional perspective,"S Heidrich - Journal of Population Economics, 2017 - Springer","… In Section 4, results for intergenerational mobility on the national … intergenerational mobility
The first part of this section comprises a short review of the estimation of the intergenerational …",64,S Heidrich,Journal of Population Economics,Springer,2017
Intergenerational mobility in education in India,"J Jalan, R Murgai - Indian Statistical Institute, Delhi, 2008 - isid.ac.in","… In contrast to much of the literature on intergenerational mobility for developed countries,
because access to schooling facilities is not universal, we control for indicators of school …",84,"J Jalan, R Murgai","Indian Statistical Institute, Delhi",isid.ac.in,2008
Intergenerational mobility at the top of the educational distribution,"F Torche - Sociology of Education, 2018 - journals.sagepub.com","… intergenerational mobility is higher among individuals with a college degree than those with
lower levels of schooling. However, mobility … examines intergenerational mobility among the …",37,F Torche,Sociology of Education,journals.sagepub.com,2018
Inequality in intergenerational mobility of education in China,"J Golley, ST Kong - China & World Economy, 2013 - Wiley Online Library","… over time hinges on intergenerational dynamics, and the … The present paper investigates
intergenerational patterns of … populations, we find that intergenerational mobility, as reflected by …",86,"J Golley, ST Kong",China & World Economy,Wiley Online Library,2013
Long-term decline in intergenerational mobility in the United States since the 1850s,"X Song, CG Massey, KA Rolf… - Proceedings of the …, 2020 - National Acad Sciences","… First, we estimate the overall trend in intergenerational mobility based on the correlation
between parents’ and offspring’s occupational percentile ranks. Unlike some widely used …",74,"X Song, CG Massey, KA Rolf…",Proceedings of the …,National Acad Sciences,2020
Inequality and intergenerational mobility in schooling: the case of Mexico,"M Binder, C Woodruff - Economic Development and Cultural …, 2002 - journals.uchicago.edu","… We do this by examining intergenerational mobility in education in … intergenerational
mobility in Latin American countries.3 Moreover, most of the existing research provides mobility …",153,"M Binder, C Woodruff",Economic Development and Cultural …,journals.uchicago.edu,2002
"Income inequality, intergenerational mobility, and the Great Gatsby Curve: Is education the key?","J Jerrim, L Macmillan - Social Forces, 2015 - academic.oup.com","… The raw association between parental education and offspring earnings is the measure of
intergenerational mobility used in this paper, henceforth labeled β K (where K equals country). …",231,"J Jerrim, L Macmillan",Social Forces,academic.oup.com,2015
Intergenerational mobility and gender in Mexico,"F Torche - Social Forces, 2015 - academic.oup.com","… intergenerational mobility studies still tend to focus on men everywhere in the world. The
reason for excluding developing countries is simple: Mobility … intergenerational mobility net of …",56,F Torche,Social Forces,academic.oup.com,2015
More equal but less mobile?: Education financing and intergenerational mobility in Italy and in the US,"D Checchi, A Ichino, A Rustichini - Journal of public economics, 1999 - Elsevier","… considered here as a case of intergenerational mobility. Therefore, intergenerational mobility
in this study has to be interpreted as mobility between occupations even if occupations are …",447,"D Checchi, A Ichino, A Rustichini",Journal of public economics,Elsevier,1999
Income segregation and intergenerational mobility across colleges in the United States,"R Chetty, JN Friedman, E Saez… - The Quarterly Journal …, 2020 - academic.oup.com","… We measure intergenerational mobility as the difference in the chance that college students
… top earnings quintile, a simple measure of relative mobility (Chetty et al. 2014). Empirically, …",188,"R Chetty, JN Friedman, E Saez…",The Quarterly Journal …,academic.oup.com,2020
Educational inequality and intergenerational mobility in Latin America: A new database,"G Neidhöfer, J Serrano, L Gasparini - Journal of Development Economics, 2018 - Elsevier","… Our analysis contributes in several dimensions to the literature on intergenerational mobility
in developing countries: First, we examine multiple countries over a longer time span and …",133,"G Neidhöfer, J Serrano, L Gasparini",Journal of Development Economics,Elsevier,2018
Intergenerational mobility in modern China,"Y Cheng, J Dai - European sociological review, 1995 - academic.oup.com","… In this paper, we evaluate these three hypotheses concerning intergenerational mobility
in social countries by studying the case of modern China. We have chosen China for three …",86,"Y Cheng, J Dai",European sociological review,academic.oup.com,1995
Intergenerational mobility and inequality: The Latin American case,"F Torche - Annual Review of Sociology, 2014 - sociology.sites.stanford.edu","… , the study of intergenerational mobility has flourished in Latin … appears clear: Intergenerational
income mobility is weaker in … However, social class mobility in Latin America does not …",174,F Torche,Annual Review of Sociology,sociology.sites.stanford.edu,2014
Breaking the caste barrier intergenerational mobility in india,"V Hnatkovska, A Lahiri, SB Paul - Journal of Human Resources, 2013 - jhr.uwpress.org","… intergenerational mobility results in other developing countries. For instance, our intergenerational
… We also find that intergenerational mobility has risen over time in India. Studies on …",182,"V Hnatkovska, A Lahiri, SB Paul",Journal of Human Resources,jhr.uwpress.org,2013
And yet it moves: Intergenerational mobility in Italy,"P Acciari, A Polo, GL Violante - American Economic Journal: Applied …, 2022 - aeaweb.org","… systematic investigation of intergenerational income mobility for the … We begin from the
analysis of intergenerational mobility at the … When we examine the full intergenerational income …",56,"P Acciari, A Polo, GL Violante",American Economic Journal: Applied …,aeaweb.org,2022
Intergenerational mobility in Britain: New evidence,"J Ermisch, M Francesconi - … income mobility in North America …, 2004 - books.google.com","… Because neither of these samples has ever been used before to study intergenerational
mobility issues, we describe them in more detail. We also describe the sample-specific …",113,"J Ermisch, M Francesconi",… income mobility in North America …,books.google.com,2004
Intergenerational mobility and schooling decisions in Germany and Italy: The impact of secondary school tracks,"D Checchi, L Flabbi - 2007 - papers.ssrn.com","… If we consider intergenerational mobility as one dimension of … their impact on intergenerational
mobility in educational levels.… its relative impact on intergenerational mobility. Despite the …",224,"D Checchi, L Flabbi",,papers.ssrn.com,2007
Intergenerational mobility in Latin America: deeper markets and better schools make a difference,"JR Behrman, N Birdsall, M Székely - 1999 - academia.edu","… (“proportional intergenerational schooling mobility index”) … intergenerational schooling
mobility index”).In the fourth section we explore to what extent these intergenerational mobility …",141,"JR Behrman, N Birdsall, M Székely",,academia.edu,1999
Intergenerational mobility of immigrants in the united states over two centuries,"R Abramitzky, L Boustan, E Jácome… - American Economic …, 2021 - aeaweb.org","… This paper studies the intergenerational mobility of the children of … We find a smaller mobility
gap between children of … Our data enable us to estimate rates of intergenerational mobility …",44,"R Abramitzky, L Boustan, E Jácome…",American Economic …,aeaweb.org,2021
Heritability of education rises with intergenerational mobility,"P Engzell, FC Tropf - … of the National Academy of Sciences, 2019 - National Acad Sciences","… In societies with high intergenerational mobility, less variance in educational … mobility. Our
results suggest that environmental differences underlie variation in intergenerational mobility, …",42,"P Engzell, FC Tropf",… of the National Academy of Sciences,National Acad Sciences,2019
Education and intergenerational mobility: Help or hindrance?,"J Blanden, L Macmillan - 2014 - core.ac.uk","… on intergenerational mobility before attempting to update it. Intergenerational income mobility
… In the next section we discuss the existing evidence on intergenerational mobility in the UK …",75,"J Blanden, L Macmillan",,core.ac.uk,2014
Intergenerational mobility and the timing of parental income,"P Carneiro, IL García, KG Salvanes… - Journal of Political …, 2021 - journals.uchicago.edu","… We extend the standard intergenerational mobility literature by examining the relationship
between adult outcomes of children and the timing of parental income during their childhood …",30,"P Carneiro, IL García, KG Salvanes…",Journal of Political …,journals.uchicago.edu,2021
Heterogeneous income profiles and lifecycle bias in intergenerational mobility estimation,"M Nybom, J Stuhler - Journal of Human Resources, 2016 - jhr.uwpress.org","Using short snapshots of income in intergenerational mobility estimation causes “lifecycle
bias” if the snapshots cannot mimic lifetime outcomes. We use uniquely long series of Swedish …",180,"M Nybom, J Stuhler",Journal of Human Resources,jhr.uwpress.org,2016
Fortunate sons: New estimates of intergenerational mobility in the United States using social security earnings data,"B Mazumder - Review of Economics and Statistics, 2005 - direct.mit.edu","… some other contributions to the literature on intergenerational mobility. I find that the IGE …
clear whether there are significant differences in mobility between sons and daughters. I also …",836,B Mazumder,Review of Economics and Statistics,direct.mit.edu,2005
"A comparison of intergenerational mobility curves in Germany, Norway, Sweden, and the US","E Bratberg, J Davis, B Mazumder… - The Scandinavian …, 2017 - Wiley Online Library","… of intergenerational mobility: a measure of rank mobility and a measure of income share
mobility. As we discuss in greater detail below, an analogous way to create a rank mobility …",120,"E Bratberg, J Davis, B Mazumder…",The Scandinavian …,Wiley Online Library,2017
Intergenerational Mobility,"NA Cholli, SN Durlauf - 2022 - nber.org","This essay reviews the theory and empirics of intergenerational mobility. Our review draws
on models and empirical analyses of classic and more recent work from both economics and …",2,"NA Cholli, SN Durlauf",,nber.org,2022
"Persistence, privilege, and parenting: The comparative study of intergenerational mobility","T Smeeding, R Erikson, M Jäntti - 2011 - books.google.com","… times the rate of intergenerational mobility as the United States… intergenerational mobility
and social inequality, lack of educational opportunity plays a greater role in limiting US mobility, …",123,"T Smeeding, R Erikson, M Jäntti",,books.google.com,2011
Is a college degree still the great equalizer? Intergenerational mobility across levels of schooling in the United States,"F Torche - American journal of sociology, 2011 - journals.uchicago.edu","… offset, labor market mobility. In order to provide a comprehensive assessment of the meritocratic
power of a college degree I evaluate intergenerational mobility using all four indicators …",645,F Torche,American journal of sociology,journals.uchicago.edu,2011
Sibling correlations and intergenerational mobility in Latin America,"M Dahan, A Gaviria - Economic Development and Cultural …, 2001 - journals.uchicago.edu","… In this section, we compare the degrees of intergenerational mobility for several Latin
American countries. We use the correlation index proposed in Section III. Higher values of the …",146,"M Dahan, A Gaviria",Economic Development and Cultural …,journals.uchicago.edu,2001
Does intergenerational mobility shape psychological distress? Sorokin revisited,"JN Houle, MA Martin - Research in social stratification and mobility, 2011 - Elsevier","… whether intergenerational occupational mobility influences … Study (WLS) and Sobel's
Diagonal Mobility Models, we find little … the association between intergenerational mobility and …",99,"JN Houle, MA Martin",Research in social stratification and mobility,Elsevier,2011
"Human capital, heterogeneity and estimated degrees of intergenerational mobility","S Han, CB Mulligan - The Economic Journal, 2001 - Wiley Online Library","… model of intergenerational mobility, … intergenerational data on consumption and earnings.
We also suggest that nay cross-country differences in intergenerational earnings mobility are …",132,"S Han, CB Mulligan",The Economic Journal,Wiley Online Library,2001
Intergenerational Mobility between and within Canada and the United States,"M Connolly, M Corak, C Haeck - Journal of Labor …, 2019 - journals.uchicago.edu","… for the analysis of intergenerational mobility in Canada but … intergenerational mobility
than the United States, whether in terms of intergenerational income mobility, intergenerational …",57,"M Connolly, M Corak, C Haeck",Journal of Labor …,journals.uchicago.edu,2019
Asymmetries in the opportunity structure. Intergenerational mobility trends in Europe,"G Esping-Andersen, S Wagner - … in Social Stratification and Mobility, 2012 - Elsevier","… social mobility is increasing in the advanced nations. The answer may depend on mobility
patterns … Table 2 depicts the presence of very different intergenerational mobility patterns. …",89,"G Esping-Andersen, S Wagner",… in Social Stratification and Mobility,Elsevier,2012
The impact of education on income inequality and intergenerational mobility,"J Yang, M Qiu - China Economic Review, 2016 - Elsevier","This paper analyses the effects of innate ability, compulsory education (grades 1–9), and
non-compulsory education (grades 10–12 and higher education) on inequality and …",89,"J Yang, M Qiu",China Economic Review,Elsevier,2016
Intergenerational mobility across Australia and the stability of regional estimates,"N Deutscher, B Mazumder - Labour Economics, 2020 - Elsevier","… We explore a range of correlates of intergenerational mobility, … of intergenerational mobility,
we end with an exploration of the stability of regional estimates of intergenerational mobility. …",33,"N Deutscher, B Mazumder",Labour Economics,Elsevier,2020
Education and intergenerational mobility in occupations: A comparative study,"D Checchi - American journal of Economics and Sociology, 1997 - Wiley Online Library","… observed mobility gives us a measure of all the other factors related to intergenerational …
acquisition to the observed patterns of intergenerational mobility. When we compare Tables …",80,D Checchi,American journal of Economics and Sociology,Wiley Online Library,1997
Intergenerational mobility and equality of opportunity,"F Torche - European Journal of Sociology/Archives Européennes …, 2015 - cambridge.org","… I then move to topics that push mobility analysis beyond its bivariate focus: … intergenerational
mobility and economic inequality, the mechanisms for mobility, and the validity of mobility as …",65,F Torche,European Journal of Sociology/Archives Européennes …,cambridge.org,2015
Intergenerational mobility: what do we care about? What should we care about?,"M Corak - Australian Economic Review, 2020 - Wiley Online Library","… in extremes of income distribution, so too does intergenerational elasticity have its limitations.
To fully understand intergenerational mobility we must be agnostic as to the right statistic, …",11,M Corak,Australian Economic Review,Wiley Online Library,2020
A review of intergenerational mobility and its drivers,"J Stuhler - Publications Office of the European Union …, 2018 - core.ac.uk","… reviews evidence on intergenerational mobility and the … intergenerational mobility, empirical
evidence on both descriptive and causal questions, and the data requirements that mobility …",22,J Stuhler,Publications Office of the European Union …,core.ac.uk,2018
Interpreting trends in intergenerational mobility,"M Nybom, J Stuhler - 2014 - diva-portal.org","… We find that such multiplicity also matters in the intergenerational context. Using our
model we first show that the level of intergenerational mobility depends not only on …",48,"M Nybom, J Stuhler",,diva-portal.org,2014
Intergenerational mobility in educational and occupational attainment: A comparative study of social classes in India,"R Majumder - Margin: The Journal of Applied Economic …, 2010 - journals.sagepub.com","… This is manifested as low intergenerational mobility in terms … This paper examines the extent
of intergenerational mobility in … Results indicate strong intergenerational stickiness in both …",83,R Majumder,Margin: The Journal of Applied Economic …,journals.sagepub.com,2010
The human capital approach to intergenerational mobility,"M Mogstad - Journal of Political Economy, 2017 - journals.uchicago.edu","… a large and growing literature on intergenerational mobility. … intergenerational mobility.
Some studies even do all three. To give a full picture of the literature on intergenerational mobility …",30,M Mogstad,Journal of Political Economy,journals.uchicago.edu,2017
"When measure matters coresidency, truncation bias, and intergenerational mobility in developing countries","MS Emran, W Greene, F Shilpi - Journal of Human Resources, 2018 - jhr.uwpress.org","… intergenerational mobility can be made with the household surveys available in developing
countries by focusing on IGC as the measure of mobility. … on intergenerational mobility from …",74,"MS Emran, W Greene, F Shilpi",Journal of Human Resources,jhr.uwpress.org,2018
Using occupation to measure intergenerational mobility,"B Mazumder, M Acosta - The ANNALS of the American …, 2015 - journals.sagepub.com","… Scholarly investigations of intergenerational mobility typically … examine how estimates of
intergenerational mobility in income and … We find that intergenerational occupational mobility is …",40,"B Mazumder, M Acosta",The ANNALS of the American …,journals.sagepub.com,2015
The impacts of neighborhoods on intergenerational mobility: Childhood exposure effects and county-level estimates,"R Chetty, N Hendren - Harvard University and NBER, 2015 - opportunityinsights.org","… evidence that neighborhoods affect intergenerational mobility through childhood exposure
… We use these estimates to decompose observed intergenerational mobility into a causal …",392,"R Chetty, N Hendren",Harvard University and NBER,opportunityinsights.org,2015
Intergenerational mobility in the very long run: Florence 1427-2011,"G Barone, S Mocetti - Bank of Italy Temi di Discussione (Working …, 2016 - papers.ssrn.com","… Intergenerational wealth elasticity is significant and equals about 0.02, though the … First,
we show that intergenerational mobility in the 15th century was much lower than at present: …",74,"G Barone, S Mocetti",Bank of Italy Temi di Discussione (Working …,papers.ssrn.com,2016
The geography of intergenerational mobility—Danish evidence,"J Eriksen, MD Munk - Economics Letters, 2020 - Elsevier","… intergenerational mobility … intergenerational mobility at the municipal level in Denmark.
Middle-income rural municipalities in Western Jutland have the highest intergenerational mobility, …",18,"J Eriksen, MD Munk",Economics Letters,Elsevier,2020
Multiple measures of historical intergenerational mobility: Iowa 1915 to 1940,"JJ Feigenbaum - The Economic Journal, 2018 - academic.oup.com","… methods of measuring intergenerational mobility that I am able to apply to my sample of
linked fathers and sons. In Section 3, I present my estimates of intergenerational mobility in the …",80,JJ Feigenbaum,The Economic Journal,academic.oup.com,2018
